CRM Fields Layout,Макет полей CRM,
CRM Form Script,CRM Скрипт формы,
CRM Global Settings,CRM Глобальные настройки,
CRM Holiday,CRM Отпуск,
CRM Holiday List,CRM Список праздников,
CRM Industry,CRM Индустрия,
CRM Invitation,CRM Приглашение,
CRM Lead,CRM Лид,
CRM Lead Source,CRM Источник лидов,
CRM Lead Status,CRM Статус лида,
CRM Lost Reason,Причина потери CRM,
CRM Notification,Уведомление CRM,
CRM Organization,CRM Организация,
CRM Product,Продукт CRM,
CRM Products,Продукты CRM,
CRM Rolling Response Time,Текущее время отклика CRM,
CRM Service Day,День обслуживания CRM,
CRM Service Level Agreement,CRM Соглашение об уровне обслуживания,
CRM Service Level Priority,Приоритет уровня обслуживания CRM,
CRM Status Change Log,Журнал изменения статуса CRM,
CRM Task,Задачи CRM,
CRM Telephony Agent,Агент CRM-телефонии,
CRM Telephony Phone,Телефон CRM-телефонии,
CRM Territory,Среда CRM,
CRM Twilio Settings,Настройки CRM Twilio,
CRM View Settings,Настройки представления CRM,
CSV,CSV,
Call Details,Детали звонка,
Call Log,Журнал вызовов,
Call Received By,Вызов получен,
Call using {0},"Звоните, используя {0}",
Caller,Звонящий,
Calling Medium,Вызов среднего,
Calling...,Вызов...,
Calls,Звонки,
Camera,Камера,
Can't retry sync for this without source!,Невозможно повторить синхронизацию без источника!,
Cancel,Отмена,
Canceled,Отменен,
Cannot change role of user with Admin access,Невозможно изменить роль пользователя с доступом администратора,
Cannot delete standard items {0},Невозможно удалить стандартные элементы {0},
Cannot enable rule without adding users in it,Невозможно включить правило без добавления в него пользователей,
Capture,Захват,
Category,Категория,
Change,Изменение,
Change Image,Изменить изображение,
Change Password,Изменить пароль,
Change Status,Изменить статус,
Change deal status,Изменить статус сделки,
Change language of the application.,Изменить язык приложения.,
Change timezone of the application.,Изменить часовой пояс приложения.,
Change your account password for security.,В целях безопасности измените пароль своей учетной записи.,
Chart,Диаграмма,
Chart Type,Тип графика,
Choose Existing,Выбрать существующий,
Choose Existing Contact,Выберите существующий контакт,
Choose Existing Organization,Выберите существующую организацию,
Choose how long this SLA policy will be active.,"Выберите, как долго будет активна данная политика SLA.",
Choose how {0} are assigned among salespeople.,"Выберите, как {0} будет распределяться между продавцами.",
Choose the days of the week when this rule should be active.,"Выберите дни недели, когда это правило должно быть активно.",
Choose which {0} are affected by this un-assignment rule.,"Выберите, на какие {0} будет распространяться это правило отмены назначения.",
Clear,Очистить,
Clear Assignment,Очистить назначение,
Clear Demo Data,Очистить демо-данные,
Clear Sort,Очистить сортировку,
Clear Table,Очистить таблицу,
Close,Закрыть,
Closed Date,Дата закрытия,
Collapse,Свернуть,
Collapsible,Складной,
Color,Цвет,
Column,Колонка,
Column Field,Поле столбца,
Columns,Колонки,
Comment,Комментарий,
Comments,Комментарии,
Common reasons for losing deals,Основные причины потери сделок,
Communication Status,Состояние связи,
Company Name,Название компании,
Completed,Завершено,
Computer,Компьютер,
Condition,Условия,
Conditions for this rule were created from,Условия для этого правила были созданы из,
Configure actions that appear on the home dropdown,"Настройте действия, которые будут отображаться в раскрывающемся списке на главной странице",
Confirm,Подтвердить,
Confirm Delete,Подтвердить удаление,
Confirm Password,Подтвердите пароль,
Confirm {0},Подтвердить {0},
Contact,Контакт,
Contact Already Exists,Контакт уже существует,
Contact Support,Обратиться в поддержку,
Contact Us,Свяжитесь с нами,
Contact already exists with {0},Контакт уже существует с {0},
Contact image updated,Изображение контакта обновлено,
Contacts,Контакты,
Content,Содержание,
Content Type,Тип содержимого,
Content is required,Содержимое обязательно,
Convert,Преобразовать,
Convert lead to deal,Конвертировать лид в сделку,
Convert to Deal,Преобразовать в сделку,
Converted,Конвертировано,
Count,Количество,
Create,Создать,
Create Deal,Создать сделку,
Create Lead,Создать обращение,
Create New,Создать новый,
Create View,Создать представление,
Create customer on status change,Создать клиента при изменении статуса,
Create your first lead,Создайте своего первого лида,
Create your first note,Создайте свою первую заметку,
Create your first task,Создайте свою первую задачу,
Currency,Валюта,
Currency Precision,Точность валюты,
Currency set as {0} successfully,Валюта успешно установлена как {0},
Current pipeline distribution,Текущее распределение по воронке продаж,
Custom Range,Пользовательский диапазон,
Customization,Настройка,
Customize Quick Filters,Настройка быстрых фильтров,
Daily,Ежедневно,
"Daily performance of leads, deals, and wins","Ежедневная производительность лидов, сделок и побед",
Dark,Тёмная,
Dashboard,Панель инструментов,
Data,Данные,
Data Fields,Поля данных,
Data Import,Импорт данных,
Date,Дата,
Date Format,Формат даты,
Day,День,
Deal,Сделка,
Deal Owner,Владелец сделки,
Deal Status,Статус сделки,
Deal Value,Стоимость сделки,
Deal generation channel analysis,Анализ каналов генерации сделок,
Deal value,Стоимость сделки,
Deals,Сделки,
Deals by ongoing & won stage,Сделки по текущим и выигранным стадиям,
Deals by salesperson,Сделки по менеджеру продаж,
Deals by source,Сделки по источникам,
Deals by stage,Сделки по стадиям,
Deals by territory,Сделки по территориям,
Default,По умолчанию,
Default Inbox,Входящие по умолчанию,
Default Incoming,По умолчанию Входящие,
Default Medium,Отправка по умолчанию,
Default Outgoing,По умолчанию Исходящие,
Default Priority,Приоритет по умолчанию,
Default Sending,Отправка по умолчанию,
Default Service Level Agreement already exists for {0},Соглашение об уровне обслуживания по умолчанию для {0} уже существует,
Default calling medium set successfully to {0},Средство связи по умолчанию успешно установлено на {0},
"Default statuses, custom fields and layouts restored successfully.","Статусы по умолчанию, пользовательские поля и макеты успешно восстановлены.",
Defaults,По умолчанию,
Delete,Удалить,
Delete & Restore,Удаление и восстановление,
Delete All,Удалить все,
Delete Attachment,Удалить вложение,
Delete Task,Удалить задание,
Delete View,Удалить представление,
Delete or unlink linked documents,Удалить или отвязать связанные документы,
Delete or unlink these linked documents before deleting this document,Удалите или отвяжите эти связанные документы перед удалением этого документа,
Delete {0} items,Удалить {0} элементов,
Description,Описание,
Description is required,Описание обязательно,
Desk,Стол,
Details,Детали,
Device,Устройство,
Disable,Отключить,
Disabled,Отключено,
Discard,Отменить,
Discount %,Скидка %,
Discount Amount,Сумма скидки,
Dismiss,Закрыть,
DocType,DocType,
Document Type,Тип документа,
Document not found,Документ не найден,
Document updated successfully,Документ успешно обновлен,
Documentation,Документация,
Done,Готово,
Download,Скачать,
Drop files here,Перетащите файлы сюда,
Due Date,Дата выполнения,
Duplicate,Дублировать,
Duplicate Assignment Rule,Дублировать правило назначения,
Duplicate SLA Policy,Дублирующая политика SLA,
Duplicate View,Дублировать представление,
Duration,Продолжительность,
ERPNext,ERPNext,
ERPNext CRM Settings,Настройки CRM ERPNext,
ERPNext Settings,Настройки ERPNext,
ERPNext Site API's,API сайта ERPNext,
ERPNext Site URL,URL сайта ERPNext,
ERPNext is not installed in the current site,ERPNext не установлен на текущем сайте,
ERPNext is not integrated with the CRM,ERPNext не интегрирован с CRM,
Edit,Редактировать,
Edit Call Log,Редактировать журнал вызовов,
Edit Data Fields Layout,Изменить макет полей данных,
Edit Email,Редактировать Email,
Edit Field Layout,Изменить макет поля,
Edit Grid Fields Layout,Изменить макет полей данных,
Edit Grid Row Fields Layout,Редактировать расположение полей в строке таблицы,
Edit Note,Редактировать примечание,
Edit Quick Entry Layout,Редактировать макет быстрого ввода,
Edit Task,Редактировать задачу,
Edit View,Изменить представление,
Editing Row {0},Редактирование строки {0},
Email,Электронная почта,
Email Account,Учетная запись электронной почты,
Email Accounts,Учетные записи Email,
Email ID,Email ID,
Email ID is required,Требуется Email ID,
Email Sent At,Электронное письмо отправлено на,
Email Settings,Настройки электронной почты,
Email Template,Шаблон Email,
Email Templates,Шаблоны Email,
Emails,Письма,
Empty,Пустой,
Empty - Choose a field to filter by,Пусто - Выберите поле для фильтрации,
Empty - Choose a field to sort by,Пусто - Выберите поле для сортировки,
Enable,Включить,
Enable Forecasting,Включить прогнозирование,
Enable Incoming,Включить входящие,
Enable Outgoing,Включить исходящие,
Enabled,Включено,
Enabled?,Включено?,
End Date,Дата окончания,
End Time,Время окончания,
Enter Access Token,Введите ключ доступа,
Enter Source Name,Введите название источника,
Enter Value,Введите значение,
Enter your Facebook Access Token,Введите Ваш токен доступа Facebook,
Enter {0},Введите {0},
Equals,Равняется,
Error Occurred,Произошла ошибка,
Error converting to deal: {0},Ошибка конвертации в сделку: {0},
Error creating Lead Sync Source,Ошибка создания источника синхронизации лида,
Error syncing leads,Ошибка синхронизации лидов,
Error updating Lead Sync Source,Ошибка обновления источника синхронизации лида,
Error updating field,Ошибка обновления поля,
Every 10 Minutes,Каждые 10 минут,
Every 15 Minutes,Каждые 15 минут,
Every 5 Minutes,Каждые 5 минут,
Excel,Excel,
Exchange Rate,Обменный курс,
Exchange Rate Provider,Провайдер обменных курсов,
Exotel,Exotel,
Exotel Exception,Исключение Exotel,
Exotel Number,Номер Exotel,
Exotel Number Missing,Номер Exotel отсутствует,
Exotel Number {0} is not valid,Номер Exotel {0} недействителен,
Expand,Развернуть,
Expected Closure Date,Ожидаемая дата закрытия,
Expected Deal Value,Ожидаемая стоимость сделки,
Expired,Истек срок действия,
Export,Экспорт,
Export Type,Тип экспорта,
FCRM Note,Примечание FCRM,
FCRM Settings,Настройки FCRM,
Facebook,Facebook,
Facebook Form ID,Идентификатор формы Facebook,
Facebook Lead Form,Форма лидов Facebook,
Facebook Lead Form Question,Вопрос в форме лидов Facebook,
Facebook Lead ID,Идентификатор лида Facebook,
Facebook Page,Страница Facebook,
Failed,Не выполнено,
Failed Lead Sync Log,Журнал ошибок синхронизации лидов,
Failed to capture Twilio recording,Не удалось получить запись с Twilio,
Failed to create template,Не удалось создать шаблон,
Failed to delete template,Не удалось удалить шаблон,
Failed to fetch exchange rate from {0} to {1} on {2}. Please check your internet connection or try again later.,Не удалось получить обменный курс с {0} на {1} от {2}. Проверьте подключение к интернету или попробуйте позже.,
Failed to load form controller: {0},Не удалось загрузить контроллер формы: {0},
Failed to rename template,Не удалось переименовать шаблон,
Failed to send email!,Не удалось отправить электронное письмо!,
Failed to update Twilio call status,Не удалось обновить статус вызова в Twilio,
Failed to update password,Не удалось обновить пароль,
Failed to update source,Не удалось обновить источник,
Failed to update template,Не удалось обновить шаблон,
Failure,Отказ,
Failure Logs,Журналы отказов,
Favicon,Favicon,
Field,Поле,
Fields Order,Порядок полей,
"File ""{0}"" was skipped because of invalid file type","Файл ""{0}"" был пропущен из-за недопустимого типа файла",
"File ""{0}"" was skipped because only {1} uploads are allowed","Файл ""{0}"" был пропущен, поскольку разрешена загрузка только {1} файлов",
"File ""{0}"" was skipped because only {1} uploads are allowed for DocType ""{2}""","Файл ""{0}"" был пропущен, потому что для DocType ""{2}"" разрешена загрузка только {1} файлов",
Filter,Фильтр,
Filters,Фильтры,
First Name,Имя,
First Name is mandatory,Укажите имя,
First Responded On,Первый ответ дан,
First Response Due,Срок первого ответа,
First Response TIme,Время первого ответа,
First Response Time,Время первого отклика,
First name,Имя,
Float Precision,Поплавковая точность,
For,Для,
Forecasted revenue,Прогнозируемый доход,
Form,Форма,
Form Name,Название формы,
Form Script updated successfully,Скрипт формы успешно обновлён,
Frappe CRM mobile,Мобильная CRM Frappe,
Frappe Mail Site,Сайт Frappe Mail,
Frappe Support,Поддержка Frappe,
Friday,Пятница,
From,От,
From Date,С даты,
From Type,От типа,
From User,От пользователя,
Fulfilled,Выполнено,
Full Name,Полное имя,
Funnel conversion,Конверсия воронки,
Gender,Пол,
General,Общий,
General Settings,Основные настройки,
Geographic distribution of deals and revenue,Географическое распределение сделок и доходов,
GitHub Repository,Репозиторий GitHub,
Go Back,Назад,
Grid Row,Строка таблицы,
Group By,Группа по,
Group By Field,Группировать по полю,
Group By: ,Группа по: ,
Help,Помощь,
Hidden,Скрытый,
Hide,Скрыть,
Hide Border,Скрыть границу,
Hide Label,Скрыть метку,
Hide Password,Скрыть пароль,
Hide Preview,Скрыть просмотр,
Hide Recording,Скрыть запись,
High,Высокий,
Holiday List,Список праздников,
Holiday List Name,Название списка праздников,
Holidays,Праздники,
Home Actions,Действия на главной странице,
Hourly,Почасовая оплата,
ID,ID,
Icon,Иконка,
"If enabled, all outgoing emails will be sent from this account. Note: Only one account can be default outgoing.","Если включено, все исходящие письма будут отправляться с этой учетной записи. Примечание: только одна учетная запись может быть исходящей по умолчанию.",
"If enabled, all replies to your company (eg: replies@yourcompany.com) will come to this account. Note: Only one account can be default incoming.","Если включено, все ответы вашей компании (например: replies@yourcompany.com) будут приходить на эту учетную запись. Примечание: только одна учетная запись может быть входящей по умолчанию.",
"If enabled, outgoing emails can be sent from this account.","Если включено, исходящие письма могут отправляться с этой учетной записи.",
Image,Изображение,
Import,Импорт,
In,На сайте,
In Progress,В работе,
In less than a minute,Менее минуты,
Inbound Call,Входящий звонок,
Inbox,Входящие,
Incoming,Входящий,
Incoming call...,Входящий звонок...,
Industry,Промышленность,
Initiated,По инициативе,
Initiating call...,Инициализация звонка...,
Insert Email Template,Вставить шаблон письма,
Insert Emoji,Вставить эмодзи,
Integration,Интеграция,
Integration Not Enabled,Интеграция не включена,
Integrations,Интеграции,
Introduction,Введение,
Invalid Account SID or Auth Token.,Неверный SID учетной записи или токен авторизации.,
Invalid Exotel Number,Неверный номер телефона,
Invalid access token provided for Facebook.,Предоставлен недействительный токен доступа Facebook.,
Invalid chart name,Неверное название диаграммы,
Invalid credentials,Неверные учетные данные,
Invalid email ID,Неверный Email ID,
"Invalid fields, check if all are filled in and values are correct.","Некорректные данные, проверьте правильность заполнения полей.",
Invalid page or not permitted to access,Неверная страница или нет доступа,
Invite New User,Пригласить нового пользователя,
Invite User,Пригласить пользователя,
Invite users to access CRM. Specify their roles to control access and permissions,Пригласите пользователей для доступа к CRM. Укажите их роли для контроля доступа и разрешений,
Invite your team,Пригласить вашу команду,
Invited By,Пригласил,
Is,Является,
Is Default,Является значением по умолчанию,
Is ERPNext installed on a different site?,Установлен ли ERPNext на другом сайте?,
Is Group,Группа,
Is Primary,Является основным,
Is Standard,Стандартный,
"It will make deal's ""Expected Closure Date"" & ""Expected Deal Value"" mandatory to get accurate forecasting insights",Это сделает обязательными поля «Ожидаемая дата закрытия» и «Ожидаемая стоимость сделки» для получения точных прогнозов,
JSON,JSON,
Job Title,Название вакансии,
John Doe,Джон Доуs,
Kanban,Канбан,
Kanban Columns,Канбан-доска,
Kanban Fields,Канбан-поля,
Kanban Settings,Настройки Канбана,
Key,Ключ,
Keyboard Shortcuts,Ярлыки клавиатуры,
Label,Этикетка,
Language,Язык,
Last,Последний,
Last 30 Days,Последние 30 дней,
Last 6 Months,Последние 6 месяцев,
Last 60 Days,Последние 60 Дней,
Last 7 Days,Последние 7 дней,
Last 90 Days,Последние 90 Дней,
Last Modified,Последнее изменение,
Last Month,Последний месяц,
Last Name,Фамилия,
Last Quarter,Последний квартал,
Last Responded On,Последний ответ был дан,
Last Response Time,Время последнего ответа,
Last Status Change Log,Журнал изменения статуса CRM,
Last Synced At,Последняя синхронизация,
Last Week,Последняя неделя,
Last Year,Прошлый год,
Last name,Фамилия,
Last user assigned by this rule,"Последний пользователь, назначенный этим правилом",
Layout,Макет,
Lead,Лид,
Lead Data,Данные лида,
Lead Details,Подробнее об лиде,
Lead Name,Имя лида,
Lead Owner,Ответственный за лид,
Lead Owner cannot be same as the Lead Email Address,Владелец лида не может совпадать с адресом электронной почты лида,
Lead Sources,Источники лида,
Lead Sync Source,Источник синхронизации лида,
Lead Sync Source created successfully,Источник синхронизации лида успешно создан,
Lead Syncing,Синхронизация лидов,
Lead generation channel analysis,Анализ каналов генерации лидов,
Lead sync initiated.,Начата синхронизация лидов.,
Lead to deal conversion pipeline,Воронка конверсии лида в сделку,
Leads,Лиды,
Leads by source,Лиды по источникам,
Learn about conditions,Узнать об условиях,
Learn more,Подробнее,
Left,Левый,
Library,Библиотека,
Light,Свет,
Like,Подобно,
Link,Ссылка,
Links,Ссылки,
List,Список,
Listen,Слушать,
Load Default Columns,Загрузить столбцы по умолчанию,
Load More,Загрузить ещё,
Loading...,Загрузка...,
Log,Журнал,
Log ID,ID лога,
Log a Call,Записать звонок,
Log out,Выйти из системы,
Login to Frappe Cloud?,Войти в Frappe Cloud?,
Logo,Логотип,
Lost,Проиграно,
Lost Notes,Заметки о потере,
Lost Reason,Забыли Причина,
Lost deal reasons,Причины потерянных сделок,
Low,Низкий,
Make Call,Сделать звонок,
Make Private,Сделать Приватным,
Make Public,Сделать Публичным,
Make a Call,Позвонить,
Make attachment {0},Прикрепить {0},
Make {0},Сделать {0},
Make {0} as default calling medium,Сделать {0} средством связи по умолчанию,
"Makes ""Expected Closure Date"" and ""Expected Deal Value"" mandatory for deal value forecasting",Делает «Ожидаемую дату закрытия» и «Ожидаемую стоимость сделки» обязательными для прогнозирования стоимости сделки,
"Manage CRM users by adding or inviting them, and assign roles to control their access and permissions","Управляйте пользователями CRM, добавляя или приглашая их, и назначайте роли для контроля доступа и разрешений",
Manage your email accounts to send and receive emails directly from CRM. You can add multiple accounts and set one as default for incoming and outgoing emails.,Управляйте учетными записями email для отправки и получения писем напрямую из CRM. Вы можете добавить несколько учетных записей и установить одну по умолчанию для входящих и исходящих писем.,
Manager,Менеджер,
Mandatory field error: {0},Ошибка обязательного поля: {0},
Mandatory field(s) {0} must be mapped,Обязательное поле(я) {0} должно быть отображено,
Mandatory fields required: {0},Заполните обязательные поля: {0},
Manual,Руководство,
Mapped to CRM Field,Сопоставлено с полем CRM,
Mark all as read,Отметить все как прочитанное,
Masters,Мастера,
Medium,Средний,
Mention,Упоминание,
Message,Сообщение,
Middle Name,Отчество,
Minimize,Свернуть,
Mobile No.,Номер мобильного телефона.,
Mobile Number,Мобильный номер,
Mobile Number Missing,Отсутствует номер мобильного телефона,
Monday,Понедельник,
Month,Месяц,
Monthly,Ежемесячно,
More Options,Другие параметры,
My Open Deals,Мои открытые сделки,
My Profile,Мой профиль,
My Settings,Мои настройки,
Name,Имя,
Name is required,Имя обязательно,
Naming Series,Именование серий,
Net Amount,Чистая сумма,
Net Total,Чистая всего,
New,Новый,
New Assignment Rule,Новое правило назначения,
New Assignment Rule Name,Название нового правила назначения,
New Comment,Новый комментарий,
New Contact,Новый контакт,
New Email,Новая электронная почта,
New Lead Sync Source,Новый источник синхронизации лидов,
New Message,Новое сообщение,
New Note,Новая заметка,
New Organization,Новая организация,
New Password,Новый пароль,
New SLA Policy,Новая политика SLA,
New SLA Policy Name,Название новой политики SLA,
New Section,Новый раздел,
New Tab,Новая таблица,
New Task,Новая задача,
New contact will be created based on the person's details,Новый контакт будет создан на основе данных человека,
New organization will be created based on the data in details section,Новая организация будет создана на основе данных в разделе «Подробности»,
New {0},Новый {0},
Next 6 Months,Следующие 6 месяцев,
Next Month,Следующий месяц,
Next Quarter,Следующий квартал,
Next Step,Следующий шаг,
Next Week,Следующая неделя,
Next Year,Следующий год,
No Answer,Нет ответа,
No Data,Нет данных,
No Label,Нет этикетки,
No Title,Без названия,
No changes made,Изменения не внесены,
No results found,Результаты не найдены,
No {0} Found,Не найдено {0},
No {0} found,Не найдено {0},
No.,№,
No. of Employees,Количество сотрудников,
Normal,Нормальный,
Not Allowed,Не разрешено,
Not Saved,Не сохранено,
Not Synced,Не синхронизирован,
Not allowed to add contact to Deal,Не разрешено добавлять контакт в сделку,
Not allowed to convert Lead to Deal,Не разрешено конвертировать Лид в сделку,
Not allowed to remove contact from Deal,Не разрешено удалять контакт из сделки,
Not allowed to set primary contact for Deal,Не разрешено назначать основное контактное лицо для сделки,
Not implemented yet!,Еще не реализовано!,
Not permitted,Не разрешено,
Note,Заметка,
Notes,Заметки,
Notes View,Просмотр заметок,
Notification,Уведомление,
Notification Text,Текст уведомления,
Notification Type Doc,Тип уведомления Doc,
Notification Type Doctype,Тип уведомления Doctype,
Notifications,Уведомления,
Number,Номер,
Number Format,Формат номера,
Number of deals,Количество сделок,
Number of deals and total value per salesperson,Количество сделок и общая стоимость на менеджера продаж,
Old Condition,Старое условие,
Old Conditions,Старые условия,
Old Parent,Старый родитель,
On Hold,На удерживании,
Ongoing,В процессе,
Ongoing deals,Текущие сделки,
Only image files are allowed,Разрешены только файлы изображений,
Only one {0} can be set as primary.,Только один {0} может быть установлен в качестве основного.,
Open,Открыт,
Open in Portal,Открыть в портале,
Open in new window,Открыть в новом окне,
Open {0},Открыть {0},
Operator,Оператор,
Options,Параметры,
Or create leads manually,Или создавайте лиды вручную,
Order By,Сортировать по,
Organization,Организация,
Organization Details,Информация об организации,
Organization Logo,Логотип организации,
Organization Name,Название организации,
Organizations,Организации,
Others,Другие,
Outbound Call,Исходящие звонки,
Outgoing,Исходящие,
Owner,Владелец,
Page,Страница,
Page Name,Название страницы,
Parent CRM Territory,Родительская территория CRM,
Password,Пароль,
Password cannot be reset by Demo User {},Пароль не может быть сброшен демонстрационным пользователем {},
Password is required,Пароль обязателен,
Password must be at least 8 characters,Пароль должен быть не менее 8 символов,
"Password must contain lowercase, uppercase, number, and symbol","Пароль должен содержать строчные и заглавные буквы, цифры и символы",
Password updated successfully,Пароль успешно обновлен,
Passwords do not match,Пароли не совпадают,
Passwords match,Пароли совпадают,
Payment Reminder,Напоминание об оплате,
